# edges {(x_1, y_1, z_1), (x_2, y_2, z_2)}
871 724 757
871 724 757
939 724 757

636 724 757
871 724 757

629 724 757
636 724 757

629 724 725
629 724 757

629 815 725
629 724 725

629 923 725
629 970 725

629 815 725
629 923 725

559 815 725
629 815 725

540 815 725
559 815 725

540 815 757
540 815 816

540 815 725
540 815 757

540 815 538
540 815 725

540 815 522
540 815 538

540 815 494
540 815 522

540 815 490
540 815 494

516 815 490
540 815 490

437 815 490
516 815 490

437 815 318
437 923 318

437 815 490
437 815 318

437 724 490
437 815 490

437 626 490
437 724 490

437 626 490
516 626 490

421 626 490
437 626 490

421 339 490
421 626 490

421 339 522
421 339 538

421 339 494
421 339 522

421 339 490
421 339 494

421 158 490
421 339 490

636 106 816
636 106 824

636 106 757
636 106 816

636 106 725
636 106 757

636 106 538
636 106 725

636 106 522
636 106 538

636 13 522
636 106 522

636 13 522
871 13 522

629 13 522
636 13 522

629 13 494
629 13 522

559 13 494
629 13 494

559 13 494
559 0 494

559 13 490
559 13 494

540 13 490
559 13 490

516 13 490
540 13 490

437 13 490
516 13 490

421 13 490
437 13 490

421 106 490
421 13 490

421 158 490
421 106 490

390 158 490
421 158 490

390 158 318
390 158 490

390 158 238
390 158 318


# terminals (x, y, z)
390 158 238
636 106 824
421 339 538
559 0 494
629 970 725
516 626 490
540 815 816
437 923 318
939 724 757
871 13 522
