# edges {(x_1, y_1, z_1), (x_2, y_2, z_2)}
939 724 725
939 724 725
939 724 757

636 724 725
939 724 725

629 724 725
636 724 725

629 815 725
629 724 725

629 923 725
629 970 725

629 815 725
629 923 725

559 815 725
629 815 725

540 815 725
559 815 725

540 815 757
540 815 816

540 815 725
540 815 757

540 815 538
540 815 725

540 815 494
540 815 538

437 815 318
437 923 318

516 815 318
437 815 318

540 815 318
516 815 318

540 815 490
540 815 318

540 815 494
540 815 490

540 724 494
540 815 494

540 626 494
540 724 494

516 626 494
516 626 490

540 626 494
516 626 494

540 339 494
540 626 494

437 339 538
421 339 538

437 339 494
437 339 538

516 339 494
437 339 494

540 339 494
516 339 494

540 158 494
540 339 494

629 106 824
636 106 824

629 106 816
629 106 824

629 106 757
629 106 816

629 106 725
629 106 757

629 106 538
629 106 725

629 106 494
629 106 538

559 106 494
629 106 494

559 106 494
559 0 494

540 106 494
559 106 494

540 158 494
540 106 494

540 158 490
540 158 494

516 158 490
540 158 490

437 158 490
516 158 490

421 158 490
437 158 490

390 158 490
421 158 490

390 158 318
390 158 490

390 158 238
390 158 318


# terminals (x, y, z)
390 158 238
636 106 824
421 339 538
559 0 494
629 970 725
516 626 490
540 815 816
437 923 318
939 724 757
