# edges {(x_1, y_1), (x_2, y_2)}
871 724
939 724

636 724
871 724

629 724
636 724

629 724
629 724

629 815
629 724

629 923
629 970

629 815
629 923

559 815
629 815

540 815
559 815

540 815
540 815

540 815
540 815

540 815
540 815

540 815
540 815

540 815
540 815

540 815
540 815

516 815
540 815

437 815
516 815

437 815
437 923

437 815
437 815

437 724
437 815

437 626
437 724

437 626
516 626

421 626
437 626

421 339
421 626

421 339
421 339

421 339
421 339

421 339
421 339

421 158
421 339

636 106
636 106

636 106
636 106

636 106
636 106

636 106
636 106

636 106
636 106

636 13
636 106

636 13
871 13

629 13
636 13

629 13
629 13

559 13
629 13

559 13
559 0

559 13
559 13

540 13
559 13

516 13
540 13

437 13
516 13

421 13
437 13

421 106
421 13

421 158
421 106

390 158
421 158

390 158
390 158

390 158
390 158


# terminals (x, y)
390 158
636 106
421 339
559 0
629 970
516 626
540 815
437 923
939 724
871 13
